"","Title","ReleaseDate","Popularity","Budget","Revenue","Genre","IMDBRating","IMDBVotes","Director","RottenTomatoesRating"
"2060","åêƒäººäº•","'25/06/1974'",0,0,0,NA,NA,NA,NA,NA
"2061","Rainforest 3D","19 Nov 2012",0.028158,0,0,"Documentary","4.1/10","7","Benjamin Eicher, Timo Joh. Mayer",NA
"2062","Where Is My Friend?","21 May 2014",0.04125,0,0,"Short, Comedy, Drama","8.0/10","26","Thorkell August Ottarsson",NA
"2063","?Ÿ?µÑ€???°Ñè ?·?¸???°","'05/02/1978'",0,0,0,NA,NA,NA,NA,NA
"2064","Truckers","27 Jul 1973",2e-06,0,0,"Comedy","8.4/10","641","Milo Djukanovic",NA
"2065","Jeena Sirf Merre Liye","20 Nov 2002",0.006845,0,0,"Romance","4.6/10","571","Talat Jani",NA
"2066","The Oily American","10 Jul 1954",0.017334,0,0,"Family, Animation, Short","6.4/10","107","Robert McKimson",NA
"2067","å?‡å ´ç‰ˆãƒùã‚±ãƒƒãƒˆãƒ¢ãƒ?ã‚?ã‚¿ãƒ? ã‚»ãƒ¬ãƒ“ã‚£ æ™‚ã‚’è¶?ãÅˆãÅŸéÅ?éÅ‡ï?ˆãÅ§ãÅ‚ãÅ„ï?‰","'06/07/2001'",1.139034,0,28023563,NA,NA,NA,NA,NA
"2068","The Road to Mecca","23 Aug 1991",0.004617,0,0,"N/A","8.0/10","60","Athol Fugard, Peter Goldsmid",NA
"2069","Murda Muzik","06 Apr 2004",0.08195,0,0,"Action, Music","7.1/10","56","Lawrence Evan Page",NA
"2070","Vargtimmen","18 Mar 2010",0.918516,0,0,"Short, Horror","7.5/10","11","Georg Tiller",NA
"2071","Sesame Street: Monster Manners","01 Jun 2014",0.039375,0,0,"N/A",NA,"N/A","N/A",NA
"2072","Sbamm!","11 Jan 1982",0.096848,0,0,"Comedy","4.3/10","27","Franco Abussi",NA
"2073","Inbrottet","22 May 2014",0.085227,0,0,"Thriller","9.6/10","8","Marcus Ovnell",NA
"2074","Oddsac","26 Jan 2010",0.032403,0,0,"Music","7.2/10","411","Danny Perez",NA
"2075","Dressed to Fire","'01/01/1988'",3.2e-05,0,0,"Action","4.3/10","23","Godfrey Ho",NA
"2076","The Strange Love of Molly Louvain","28 May 1932",0.00284,0,0,"Crime, Drama, Romance","6.5/10","250","Michael Curtiz",NA
"2077","Devil May Care","06 Nov 2015",0.020627,0,0,"Short, Drama",NA,"N/A","Christopher Glenn Cannon",NA
"2078","Partie de Tric-Trac","'NaT'",0.001875,0,0,"Documentary, Short","4.9/10","113","Louis LumiËre",NA
"2079","There Goes My Baby","02 Sep 1994",0.021032,10500000,123509,"Comedy, Drama","6.4/10","893","Floyd Mutrux",NA
"2080","Tormentero","11 Mar 2017",0.460755,0,0,"Drama, Fantasy, Mystery","6.7/10","11","RubÈn Imaz",NA
"2081","Carmen","06 May 1983",0.001875,0,0,"Drama, Music, Romance","7.7/10","2,412","Carlos Saura",NA
"2082","Salut Berthe!","21 Aug 1968",0.002063,0,0,"Comedy","4.7/10","24","Guy Lefranc",NA
"2083","Chong","'01/07/2000'",0.002911,0,0,"Drama, Horror","6.7/10","24","Norman Chu, Yung Ling Wang",NA
"2084","At Any Price","01 May 2013",1.252373,0,0,"Drama, Thriller","5.7/10","6,209","Ramin Bahrani","52%"
"2085","Pixo","23 Oct 2009",0.009702,0,0,"Documentary","7.5/10","110","Roberto T. Oliveira, Jo„o Wainer",NA
"2086","Lawless Land","23 Nov 1936",0.006179,0,0,"Romance, Western","5.8/10","28","Albert Ray",NA
"2087","When the Redskins Rode","30 May 1951",0.008091,0,0,"Western","5.5/10","41","Lew Landers",NA
"2088","Charlie's Bag","'01/01/2014'",0.022949,0,0,"Short, Comedy, Crime",NA,"N/A","Peter Blackmann",NA
"2089","Frequently Asked Questions About Time Travel","24 Apr 2009",1.319808,0,0,"Comedy, Sci-Fi","7.1/10","28,037","Gareth Carrivick","40%"
"2090","The Wizard Rockumentary: A Movie About Rocking and Rowling","11 Apr 2008",0.0075,0,0,"Documentary","8.5/10","10","Mallory Schuyler, Megan Schuyler",NA
"2091","Liberating a Continent: John Paul II and the Fall of Communism","01 Jun 2016",0.078373,0,0,"Documentary",NA,"N/A","David Naglieri",NA
"2092","Der Anschlag","'01/02/1984'",0,0,0,"Short",NA,"N/A","Pia Frankenberg",NA
"2093","Pink Ice","10 Jun 1965",0.017447,0,0,"Animation, Short, Comedy","6.1/10","119","Friz Freleng, Hawley Pratt",NA
"2094","La victoria","17 Sep 1973",0.306446,0,0,"N/A","6.8/10","6","Peter Lilienthal",NA
"2095","Annie","18 Jun 1982",0.002841,0,0,"Comedy, Drama, Family","6.5/10","32,991","John Huston","52%"
"2096","Momentos","11 May 2010",2e-06,0,0,"Short, Drama","7.0/10","232","Nuno Rocha",NA
"2097","At the Villa Rose","01 Mar 1920",0.001875,0,0,"Crime, Drama","4.2/10","12","Maurice Elvey",NA
"2098","åçƒãÅ¨åçƒå°‹ãÅ®ç¥?é? ãÅ—","'20/07/2001'",17.057516,15000000,274925095,NA,NA,NA,NA,NA
"2099","Cotolay","05 Dec 1966",0.005831,0,0,"Biography","6.2/10","40","JosÈ Antonio Nieves Conde",NA
"2100","The Bed You Sleep In","23 Jun 1998",0.003807,0,0,"N/A","7.2/10","172","Jon Jost",NA
"2101","The Little Minister","28 Dec 1934",0.108194,0,0,"Drama, Romance","6.4/10","547","Richard Wallace",NA
"2102","Riot in Juvenile Prison","01 Apr 1959",0.002077,0,0,"Drama","5.6/10","50","Edward L. Cahn",NA
"2103","Something's Gonna Live","27 Aug 2010",0.015309,0,0,"Documentary","8.5/10","94","Daniel Raim",NA
"2104","The Union Jacking Up","'01/01/1985'",5e-06,0,0,NA,NA,NA,NA,NA
"2105","Dark Blue","21 Feb 2003",0.896431,15000000,9237470,"Action, Crime, Drama","6.6/10","18,030","Ron Shelton","58%"
"2106","Claws","11 Jun 2017",0.032603,0,0,"Comedy, Crime, Drama","7.4/10","1,856","Nicole Kassell",NA
"2107","Sublime: Sublime","25 Nov 1997",0.007573,0,0,"Short, Music","8.5/10","43","Greg Abramson, Gregory Dark, Clark Eddy, Josh Fischel, McG",NA
"2108","Capricorn One","02 Jun 1978",3.538719,5000000,0,"Action, Thriller","6.8/10","16,941","Peter Hyams","61%"
"2109","Hui ba! Ja 'fit' yan bing tuen","'06/09/1996'",0.022314,0,0,"Action, Comedy","6.4/10","44","Chuen-Yee Cha",NA
"2110","I've Killed Before","'05/02/1995'",0.002534,0,0,"Horror","3.9/10","22","Matthew Jason Walsh",NA
"2111","Grandma's Hero","03 Feb 2016",0.07856,0,0,"Animation, Short, Adventure","8.2/10","12","Corentin Monnier, Ben Ozeri",NA
"2112","à??à?¿à?¨ à?•à?¨à§çà?¯à??","'05/05/1961'",0.005803,0,0,NA,NA,NA,NA,NA
"2113","House of Straw","'27/09/2015'",0.064725,0,0,"Short, Drama, Horror",NA,"N/A","Kyle Bogart",NA
"2114","Black Moon","24 Sep 1975",1.43492,0,0,"Fantasy, Mystery, Sci-Fi","6.3/10","3,806","Louis Malle","50%"
"2115","ãƒ”ã‚«ãƒÅãƒ¥ã‚?ãÅ®ãÅªãÅ?ã‚„ãÅ™ãÅ¿","'18/07/1998'",0.290883,0,0,NA,NA,NA,NA,NA
"2116","Naranjo en flor","17 Apr 2009",0.025739,0,0,"N/A","5.1/10","46","Antonio Gonz·lez-Vigil",NA
"2117","Blue in the Face","13 Oct 1995",1.227222,2000000,1275000,"Comedy","6.7/10","7,997","Paul Auster, Wayne Wang, Harvey Wang","43%"
"2118","J'ai huit ans","'01/01/1961'",0.001878,0,0,"Short","8.2/10","10","Olga BaÔdar-Poliakoff, RenÈ Vautier, Yann Le Masson(co-director)",NA
"2119","Tila","06 Nov 2014",0.08783,0,0,"Short, Drama",NA,"N/A","Rob Jara",NA
"2120","La noche del ratÃ?n","'30/01/2015'",0.049047,6790,0,NA,NA,NA,NA,NA
"2121","Book of Dreams: Welcome To Crateland","'05/01/1994'",0.00188,0,0,"Short","7.1/10","38","Alex Proyas",NA
"2122","Bukod Kang Pinagpala","'10/11/2015'",0.391211,0,0,"N/A",NA,"N/A","Mar S. Torres",NA
"2123","The Shriek","27 Feb 1933",0.001875,0,0,"Animation, Short, Comedy","7.8/10","17","Walter Lantz, William Nolan",NA
"2124","Radio City Revels","11 Feb 1938",0.035207,0,0,"Comedy, Musical, Romance","6.4/10","92","Benjamin Stoloff",NA
"2125","åç—ç“œãÅ¨ãƒ?ãƒ¨ãƒçãƒ?ã‚º","'11/11/2017'",1.085961,0,0,NA,NA,NA,NA,NA
"2126","Gloria","09 May 2013",0.10613,30000000,0,"Comedy, Drama, Romance","6.7/10","6,529","Sebasti·n Lelio","99%"
"2127","The Subconscious Art of Graffiti Removal","01 Jan 2002",0.021371,0,0,"Documentary, Short","7.6/10","173","Matt McCormick",NA
"2128","Chantilly Lace","18 Jul 1993",0.208129,0,0,"Drama","6.4/10","217","Linda Yellen",NA
"2129","Koi Mere Dil Mein Hai","03 Jun 2005",0.005628,0,0,"Drama","4.5/10","56","Deepak Ramsay",NA
"2130","ãÅ?ãÅèã‚?ãÅ?ãÅ¨","25 May 1977",2.138732,0,69932387,"Action, Adventure, Fantasy","8.7/10","993,937","George Lucas","93%"
"2131","Wat Jy Saai","29 Aug 1979",0.000207,0,0,"Drama",NA,"N/A","Tim Spring",NA
"2132","Ask the Sexpert","01 May 2017",0.270712,0,0,"Documentary, Comedy, Drama","8.7/10","7","Vaishali Sinha",NA
"2133","Tradition","29 Aug 2006",0,0,0,"Short, Drama","7.3/10","19","Peter Ladkani, Yvonne von Mach",NA
"2134","Den Starkaste","28 Oct 1929",0.170804,0,0,"Drama","6.7/10","14","Axel Lindblom, Alf Sjˆberg",NA
"2135","Tiefe Furchen","02 Sep 1965",0.005773,0,0,"N/A",NA,"N/A","Lutz Kˆhlert",NA
"2136","Altered","20 Jul 2007",0.068045,0,0,"Horror, Sci-Fi, Thriller","5.7/10","9,186","Eduardo S·nchez",NA
"2137","Passion of Mind","02 Jun 2000",1.479259,0,0,"Drama, Mystery, Romance","5.6/10","2,832","Alain Berliner","17%"
"2138","Canasta Uruguaya","01 Nov 1951",0.014214,0,0,"Drama, Comedy",NA,"N/A","RenÈ Cardona",NA
"2139","Rommel","01 Nov 2012",0.751878,0,0,"Action, Biography, Drama","6.5/10","1,260","Niki Stein",NA
"2140","Citizens of Cosmopolis","01 Jan 2013",0.575639,0,0,"Documentary","8.1/10","19","Julie Ng",NA
"2141","Pachai Vilakku","'02/04/1964'",0.024785,0,0,"N/A","6.8/10","6","A. Bhimsingh",NA
"2142","Thunder Bay","'21/05/1953'",0.292008,0,0,"Adventure, Drama","6.6/10","1,119","Anthony Mann",NA
"2143","Tourist Trap","16 Mar 1979",0.500472,0,0,"Horror","6.2/10","5,265","David Schmoeller",NA
"2144","Sonisphere Bulgaria Big Four - Anthrax and Megadeth","'31/08/2010'",0.009375,0,0,NA,NA,NA,NA,NA
"2145","Chicago Boricua","'05/05/2004'",0.005543,0,0,NA,NA,NA,NA,NA
"2146","Carpe Diem","'01/01/2006'",0.008442,0,0,"Short, Drama",NA,"N/A","Danelene O'Flynn",NA
"2147","MÃ¶rderherz","'01/01/2002'",0.140669,0,0,NA,NA,NA,NA,NA
"2148","Mr. and Mrs. Edgehill","15 Dec 1985",0.00831,0,0,"Drama","7.9/10","39","Gavin Millar",NA
"2149","Le Bourgeois gentilhomme","03 Mar 1982",0.013649,0,0,"Comedy","5.3/10","27","Roger Coggio",NA
"2150","The Rebirth of Buddha","'17/10/2009'",0.00984,0,0,NA,NA,NA,NA,NA
"2151","Time Bomb","19 Mar 2006",0.028873,0,0,"Drama, Thriller","4.6/10","545","Stephen Gyllenhaal",NA
"2152","Liu zhi qin mo","24 Mar 1965",0.037636,0,0,"Action",NA,"N/A","Lipin Chen",NA
"2153","Ditirambo vela por nosotros","02 Feb 2016",0.002074,0,0,"Short","7.1/10","7","Gonzalo Su·rez",NA
"2154","Cosmic Letter","'03/05/1979'",0,0,0,"Animation, Short",NA,"N/A","Al Jarnow",NA
"2155","Denk ich an Deutschland in der Nacht","17 Feb 2006",0.443947,0,0,"Biography","7.0/10","9","Gordian Maugg",NA
"2156","é?¿é“ƒ (Lu ling)","'01/01/1982'",6e-06,0,0,NA,NA,NA,NA,NA
"2157","Journey Into Life: The World of the Unborn","'01/01/1990'",1e-06,0,0,"Documentary, Short","6.6/10","14","Derek Bromhall",NA
"2158","Cugine mie","25 Aug 1978",0.361943,0,0,"Comedy","5.9/10","13","Marcello Avallone",NA
"2159","Arena: Salvador Dali.","'21/11/1986'",1.6e-05,0,0,NA,NA,NA,NA,NA
"2160","Kristin's Christmas Past","23 Nov 2013",0.341627,0,0,"Comedy, Family","6.4/10","604","Jim Fall",NA
"2161","Aprile","27 Mar 1998",0.001947,0,0,"Biography, Comedy","7.0/10","2,317","Nanni Moretti",NA
"2162","Kiss Me Goodbye","22 Dec 1982",0.00169,0,0,"Comedy, Fantasy, Romance","6.1/10","1,530","Robert Mulligan",NA
"2163","Freak","12 Oct 1999",NA,0,0,"Horror, Thriller","3.9/10","187","Tyler Tharpe",NA
"2164","Slice of Life","'01/01/2017'",0.002295,0,0,"Drama, Horror, Short","5.4/10","7","David Livingston",NA
"2165","Finding a Family","15 Oct 2011",0.326759,0,0,"Drama","7.1/10","571","Mark Jean",NA
"2166","In Their Skin","09 Nov 2012",0.516544,4000000,0,"Horror, Thriller","5.3/10","4,640","Jeremy Power Regimbal","45%"
"2167","Quiet Kill","01 Jul 2004",0.010661,0,0,"Crime, Romance, Thriller","3.7/10","171","Mark Jones",NA
"2168","Adventures in Pornoland","04 Oct 2011",0.0081,0,0,"Drama","4.8/10","47","Brad Brough, Greg Salman",NA
"2169","Vacaciones sangrientas","02 Sep 1974",0.002,0,0,"Horror",NA,"N/A","Juan Jaime Bernos",NA
"2170","ì°¨ìù´ë‚˜íƒ€ì?´ 2","'08/05/1993'",0,0,0,NA,NA,NA,NA,NA
"2171","Little Egypt","01 Mar 1896",0.204381,0,0,"Short","5.0/10","30","N/A",NA
"2172","Highway 5","22 Jul 2016",0,0,0,"Comedy, Drama","8.1/10","143","Kavi Raz",NA
"2173","Messi","01 Jan 2015",0.901926,0,0,"Documentary, Biography, Sport","7.4/10","2,585","¡lex de la Iglesia",NA
"2174","Nueva Venecia","09 Jun 2016",0.058369,0,0,"Documentary",NA,"N/A","Emiliano Mazza De Luca",NA
"2175","Tayna Gornogo Podzemelya","25 Mar 1976",0.000899,0,0,"Adventure, Family","6.7/10","6","Lev Mirsky",NA
"2176","Forest of Bliss","01 Jan 1986",1.6e-05,0,0,"Documentary","7.6/10","161","Robert Gardner",NA
"2177","Moustache from the Moon","31 Oct 2013",0.030953,0,0,"Short, Sci-Fi",NA,"N/A","SÈlim Atmane",NA
"2178","Souffler plus fort que la mer","19 Mar 2016",0.339392,0,0,"Drama","7.4/10","5","Marine Place",NA
"2179","En pays neufs","06 Sep 1937",0.001875,0,0,"Documentary","7.6/10","5","Maurice Proulx",NA
"2180","Monty Comes Back","02 Apr 2016",0.100541,0,0,"Comedy, Drama","9.3/10","22","Thomas John Nudi",NA
"2181","Blind Eye","13 May 2008",0.053545,0,0,"Action","4.3/10","92","Mark McNabb",NA
"2182","Amores Urbanos","19 May 2016",0.153089,0,0,"Drama","6.8/10","63","Vera Egito",NA
"2183","The Girl From Mars","16 Mar 1991",0.000416,0,0,"Sci-Fi","6.5/10","20","Neill Fearnley",NA
"2184","Trapeze","30 May 1956",0.310021,4000000,14400000,"Drama, Romance","6.9/10","3,383","Carol Reed","60%"
"2185","Dydsdragonen","14 Nov 1927",0.006356,0,0,"Comedy",NA,"N/A","Valdemar Andersen",NA
"2186","Hairied and Hurried","13 Nov 1965",0.002343,0,0,"Family, Animation, Short","5.8/10","94","Rudy Larriva",NA
"2187","Les Compagnons d'Eleusis","26 Sep 1975",0.001458,0,0,"Adventure, Thriller","8.2/10","12","N/A",NA
"2188","American Courtesans","12 Jul 2013",0.260838,0,0,"Documentary","6.5/10","278","James Johnson",NA
"2189","Manowar: Hell On Earth III","'21/02/2003'",0.031388,0,0,NA,NA,NA,NA,NA
"2190","Dich schickt der Himmel","30 Jan 2001",0.004307,0,0,"Comedy, Fantasy, Romance","6.6/10","34","Ute Wieland",NA
"2191","The seeding of Sarah Burns","07 Apr 1979",0,0,0,"Drama","5.1/10","15","Sandor Stern",NA
"2192","Bravo Sierra","01 Feb 2010",0,0,0,"Action, Adventure, Comedy",NA,"N/A","Jason Aupperle",NA
"2193","Coronel Delmiro Gouveia","'16/05/1978'",0.1,0,0,NA,NA,NA,NA,NA
"2194","The Mender","'30/12/1915'",0.002344,0,0,"Short, Comedy, Romance",NA,"N/A","Clayton Farris, Geoffrey Kennedy, Danit Sigler",NA
"2195","L'una e l'altra","25 May 2012",0.074205,0,0,"Comedy","6.2/10","13","Gianfranco Albano",NA
"2196","Orquestra GeraÃ§Ã£o","'01/10/2011'",0.01389,0,0,NA,NA,NA,NA,NA
"2197","Le streghe","08 Apr 2009",0.740855,0,0,"Short","7.4/10","48","Jean-Marie Straub",NA
"2198","Horas de luz","'24/09/2004'",0.009487,0,0,NA,NA,NA,NA,NA
"2199","Om Shanthi Om","'30/10/2015'",0.144047,0,0,NA,NA,NA,NA,NA
"2200","The Search for Kennyboy","01 Jun 2012",0,0,0,"Comedy","7.1/10","8","Justin Wood",NA
"2201","Monkaa","22 Oct 2014",0.054281,0,0,"Animation, Short",NA,"N/A","N/A",NA
"2202","Incident","21 May 1943",0.013125,0,0,"Drama, Western","8.1/10","17,032","William A. Wellman","94%"
"2203","Climat","'NaT'",NA,0,0,"N/A",NA,"N/A","Marc Simenon",NA
"2204","Le Pantalon","08 Dec 1997",0.010466,0,0,"Drama, History, War","8.0/10","111","Yves Boisset",NA
"2205","Kokkuri-san","'05/09/1997'",0.001968,0,0,"Horror",NA,"N/A","Kanzou Matsuura",NA
"2206","?£??Ñ€Ñ???-Ñ€?µ?º?°","'14/04/1969'",0.054716,0,0,NA,NA,NA,NA,NA
"2207","Irresistible Impulse","27 Aug 1996",0.383502,0,0,"Thriller","5.2/10","82","Jag Mundhra",NA
"2208","LÃ?vistÃ?jÃ?","'01/01/2013'",0.016875,0,0,NA,NA,NA,NA,NA
"2209","Stolen Summer","25 Jul 2003",0.394034,0,0,"Drama","6.5/10","2,466","Pete Jones","36%"
"2210","The Big Snit","01 Aug 1985",3.5e-05,0,0,"Animation, Short, Comedy","7.3/10","1,429","Richard Condie",NA
"2211","Rockin' Thru the Rockies","08 Mar 1940",0.032048,0,0,"Comedy, Western, Short","7.3/10","259","Jules White",NA
"2212","AlÃ©m da PaixÃ£o","'12/01/1986'",0.25,0,0,NA,NA,NA,NA,NA
"2213","Who'll Stop the Rain","08 Sep 1978",0.444697,0,0,"Action, Crime, Drama","6.8/10","1,999","Karel Reisz","71%"
"2214","Bajo la piel de lobo","'NaT'",0.00027,0,0,"Drama",NA,"N/A","Samu Fuentes",NA
"2215","All Over the Town","25 Apr 1949",0.215649,0,0,"Drama, Comedy","6.6/10","110","Derek N. Twist",NA
"2216","Queen Kong","10 Dec 1976",6e-06,0,0,"Adventure, Comedy, Fantasy","3.5/10","331","Frank Agrama",NA
"2217","Tiny Furniture","30 Mar 2012",0.504942,65000,416498,"Comedy, Drama, Romance","6.2/10","12,618","Lena Dunham","79%"
"2218","Thomas and Friends: The Adventure Begins","'03/03/2015'",0.094935,0,0,NA,NA,NA,NA,NA
"2219","Zacazonapan","16 Dec 1976",4e-06,0,0,"Comedy, Drama, Western","6.1/10","7","Juli·n Soler",NA
"2220","Peer Gynt","25 Aug 1941",0.001876,0,0,"Adventure","6.7/10","143","David Bradley",NA
"2221","The End of the River","07 Jul 1948",0.033552,0,0,"Drama","5.7/10","68","Derek N. Twist",NA
"2222","Sasaki Kojiro","29 Aug 1968",0.001875,0,0,"Drama","7.4/10","44","Hiroshi Inagaki",NA
"2223","Hamlet","25 Dec 1996",0.006,0,0,"Drama","7.8/10","31,863","Kenneth Branagh","95%"
"2224","Age Of Kill","15 Jun 2015",0.196995,0,0,"Action","3.8/10","471","Neil Jones","0%"
"2225","Ic","27 Jan 1965",NA,0,0,"Animation, Family, Short","6.0/10","223","Chuck Jones, Maurice Noble",NA
"2226","Brideshead Revisited","15 Aug 2008",1.840575,20000000,13204291,"Drama, Romance","6.7/10","10,544","Julian Jarrold","63%"
"2227","Mania","01 Oct 1985",0.029616,0,0,"Adventure","7.1/10","57","Giorgos Panousopoulos",NA
"2228","Jodi","'09/09/1999'",0.003602,0,0,"Romance","6.2/10","116","Praveenkanth",NA
"2229","Postcards from China","21 Sep 1975",0,0,0,"Romance",NA,"N/A","Cesar Gallardo",NA
"2230","Busco novio para mi mujer","19 Feb 2016",0.229656,0,0,"Comedy","5.6/10","318","Enrique BegnÈ","78%"
"2231","Guadalquivir","29 Nov 2013",0.051224,0,0,"Documentary","7.2/10","82","JoaquÌn GutiÈrrez Acha",NA
"2232","Top Line","16 Aug 1988",0.054747,0,0,"Sci-Fi","4.8/10","201","Nello Rossati",NA
"2233","Beauty Mark","25 Oct 2013",0.755236,0,0,"Short, Drama","8.0/10","42","Mark Ratzlaff",NA
"2234","Bluebeard's Castle","'28/04/1981'",0.000888,0,0,"Fantasy, Mystery, Music","8.6/10","10","Leslie Megahey",NA
"2235","Treat 'Em Rough","30 Jan 1942",0.00653,0,0,"Action, Crime, Drama","7.4/10","8","Ray Taylor",NA
"2236","Jim & Helen Forever","22 Jan 2015",0.090618,0,0,"Short, Comedy","7.3/10","22","Jesse Zwick",NA
"2237","Chut sui fu yung","15 Jul 2010",0.01821,0,0,"Comedy, Sport","4.5/10","108","Jeffrey Lau",NA
"2238","The Rachel Papers","12 May 1989",0.377029,0,0,"Drama, Romance","6.1/10","1,597","Damian Harris","40%"
"2239","Wayside School","01 Oct 2005",0.008439,0,0,"Animation, Comedy, Family","6.5/10","249","Riccardo Durante",NA
"2240","The Sorcerer's Apprentice","14 Jul 2010",6.524864,150000000,215283742,"Action, Adventure, Family","6.1/10","132,408","Jon Turteltaub","41%"
"2241","Shaman King","04 Jul 2001",0,0,0,"Animation, Action, Adventure","8.1/10","3,682","N/A",NA
"2242","Incident in New Baghdad","24 Apr 2011",0.011259,0,0,"Documentary, Short, Biography","6.6/10","63","James Spione",NA
"2243","Ed's Coed","'05/10/1929'",0.001875,0,0,NA,NA,NA,NA,NA
"2244","Call Me Mister","01 Feb 1951",0.004329,0,0,"Musical","5.9/10","160","Lloyd Bacon",NA
"2245","LockvÃ¶gel","'01/01/1989'",0.000313,0,0,NA,NA,NA,NA,NA
"2246","The Hugga Bunch","'01/01/1985'",0.093391,0,0,"Family, Fantasy","7.3/10","285","Gus Jekel",NA
"2247","Alien Nine","13 May 2001",0.002762,0,0,"Animation, Horror, Sci-Fi","6.4/10","58","JirÙ Fujimoto, Yasuhiro Irie, Kazunori Iwakura",NA
"2248","Triomf","'NaT'",8e-04,0,0,"Drama","6.1/10","33","Michael Raeburn",NA
"2249","Primus: Animals Should Not Try to Act Like People","'07/10/2003'",0.00375,0,0,NA,NA,NA,NA,NA
"2250","Ek Ladka Ek Ladki","18 Jun 1992",2.6e-05,0,0,"Comedy, Romance","5.7/10","694","Vijay Sadanah",NA
"2251","I kronans klÃ?der","'14/10/1915'",0.001876,0,0,NA,NA,NA,NA,NA
"2252","La duquesa roja","18 Jul 1997",0.002088,0,0,"Comedy","4.6/10","27","Francesc Betriu",NA
"2253","Power to the People","'08/05/2013'",0.01875,0,0,"Documentary",NA,"N/A","Shyam Benegal",NA
"2254","Permaculture Soils","30 Oct 2010",0.049119,0,0,"Documentary","8.2/10","16","Frank Gapinski",NA
"2255","We're the Millers","07 Aug 2013",7.377303,37000000,269994119,"Comedy, Crime","7.0/10","340,151","Rawson Marshall Thurber","47%"
"2256","Geraldine Ferraro: Paving The Way","'11/10/2013'",0.077805,0,0,NA,NA,NA,NA,NA
"2257","The Road to Reno","26 Sep 1931",0.066816,0,0,"Drama","7.1/10","15","Richard Wallace",NA
"2258","Maxie","27 Sep 1985",0.047931,0,0,"Comedy","5.4/10","850","Paul Aaron","0%"
"2259","Eye of the Beholder","28 Jan 2000",0.752889,15000000,0,"Drama, Mystery, Thriller","4.9/10","13,639","Stephan Elliott","9%"
"2260","Die Bettwurst","02 Feb 1971",1e-06,0,0,"Romance","6.0/10","313","Rosa von Praunheim",NA
"2261","The Possessed","01 May 1977",0.074208,0,0,"Horror","5.3/10","339","Jerry Thorpe",NA
"2262","London After Midnight","03 Dec 1927",0.009608,152000,0,"Horror","6.9/10","1,021","Tod Browning",NA
"2263","Confidencias","'13/12/1982'",0.00023,0,0,"Drama","7.0/10","9","Jaime Humberto Hermosillo",NA
"2264","The Island President","30 Mar 2012",0.016532,0,76398,"Documentary","7.3/10","1,058","Jon Shenk","98%"
"2265","Napoli sole mio","18 Mar 1958",0.00245,0,0,"Comedy, Musical","6.4/10","5","Giorgio Simonelli",NA
"2266","Unchained Memories: Readings from the Slave Narratives","01 Jan 2003",0.005976,0,0,"Documentary","8.1/10","196","Ed Bell, Thomas Lennon",NA
"2267","Duet for Four","01 Mar 1992",0.011186,0,0,"Drama","5.6/10","14","Tim Burstall",NA
"2268","Wienerbarnet","31 Oct 1941",0.001876,0,0,"Family",NA,"N/A","Arne Weel",NA
"2269","Into the Thunder Dragon","05 May 2003",0.0189,0,0,"Documentary","8.5/10","11","Sean White",NA
"2270","Kenia","'19/05/2007'",0.005625,0,0,"Documentary",NA,"N/A","LlorenÁ Soler",NA
"2271","Belleville Tour","06 Aug 2008",0.007853,0,0,"Comedy","6.6/10","15","Ahmed Bouchaala, Zakia Tahri",NA
"2272","Wasp","01 Apr 2004",0.067772,0,0,"Short, Drama","7.6/10","2,139","Andrea Arnold",NA
"2273","Gloria Fatalis","21 Apr 1922",0.002823,0,0,"N/A",NA,"N/A","Johan Gildemeijer",NA
"2274","The Borneo Case","'NaT'",0.3,0,0,NA,NA,NA,NA,NA
"2275","La Garde","07 Apr 2014",0.068283,0,0,"Drama","6.1/10","53","Sylvain Archambault",NA
"2276","UFC 199: Rockhold vs. Bisping 2","04 Jun 2016",0.069576,0,0,"N/A","8.2/10","5","N/A",NA
"2277","Zombie Kids","27 Oct 2013",0.020625,0,0,"Short, Horror",NA,"N/A","Hope Muehlbauer",NA
"2278","Forever James Dean","'01/01/1988'",0.04995,0,0,"Documentary, Biography","6.9/10","159","Ara Chekmayan",NA
"2279","Third World Happy","11 Nov 2010",0.012437,0,0,"Drama",NA,"N/A","EJ Salcedo",NA
"2280","La voleuse","18 Nov 1966",0.002154,0,0,"Drama","6.8/10","75","Jean Chapot",NA
"2281","Hikiko-san","05 Aug 2011",0.014062,0,0,"Horror",NA,"N/A","Hisaaki Nagaoka",NA
"2282","Nasoor","28 May 1985",0.000126,0,0,"Drama","7.0/10","8","Ashok Chopra",NA
"2283","Color Sequence","'01/01/1943'",0.003276,0,0,"Animation, Short","4.1/10","74","Dwinell Grant",NA
"2284","CÃ©line Dion: Live in Memphis","'NaT'",3.2e-05,0,0,NA,NA,NA,NA,NA
"2285","The Pointing Finger","30 Apr 1934",0.180152,0,0,"Crime","5.0/10","20","George Pearson",NA
"2286","Dog Days","09 Nov 2001",0.014214,0,0,"Drama","7.1/10","5,190","Ulrich Seidl","48%"
"2287","Rachel's Man","15 Apr 1976",5e-06,0,0,"Drama","4.7/10","39","MoshÈ Mizrahi",NA
"2288","Miss Tibet: Beauty in Exile","16 Nov 2014",0.024749,0,0,"Documentary",NA,"N/A","Norah Shapiro",NA
